game_id,character,final_score,won
296325ecc0d5ffe2,CRAFTSMAN,13,True
296325ecc0d5ffe2,GATHERER,17,True
296325ecc0d5ffe2,SAILOR,9,True
296325ecc0d5ffe2,COOK,12,True
296325ecc0d5ffe2,BUILDER,7,True
296325ecc0d5ffe2,FIRE_STARTER,14,True
259a5d07d71f3473,BUILDER,9,True
259a5d07d71f3473,SAILOR,12,True
259a5d07d71f3473,CRAFTSMAN,10,True
259a5d07d71f3473,GATHERER,15,True
259a5d07d71f3473,FIRE_STARTER,6,True
259a5d07d71f3473,COOK,12,True
74570438e9a72e0c,COOK,0,False
74570438e9a72e0c,BUILDER,1,False
74570438e9a72e0c,FIRE_STARTER,1,False
74570438e9a72e0c,CRAFTSMAN,1,False
74570438e9a72e0c,GATHERER,2,False
74570438e9a72e0c,SAILOR,1,False
6559fe61497155ac,COOK,9,True
6559fe61497155ac,FIRE_STARTER,11,True
6559fe61497155ac,GATHERER,12,True
6559fe61497155ac,BUILDER,9,True
6559fe61497155ac,CRAFTSMAN,9,True
6559fe61497155ac,SAILOR,8,True
5723fa7ec997a08b,CRAFTSMAN,6,False
5723fa7ec997a08b,SAILOR,4,False
5723fa7ec997a08b,GATHERER,3,False
5723fa7ec997a08b,BUILDER,0,False
5723fa7ec997a08b,FIRE_STARTER,4,False
5723fa7ec997a08b,COOK,3,False
ca46488374715545,CRAFTSMAN,4,False
ca46488374715545,SAILOR,9,False
ca46488374715545,GATHERER,4,False
ca46488374715545,BUILDER,2,False
ca46488374715545,FIRE_STARTER,4,False
ca46488374715545,COOK,1,False
78624e3b7fa15dea,GATHERER,1,False
78624e3b7fa15dea,SAILOR,3,False
78624e3b7fa15dea,FIRE_STARTER,3,False
78624e3b7fa15dea,BUILDER,3,False
78624e3b7fa15dea,COOK,5,False
78624e3b7fa15dea,CRAFTSMAN,5,False
c3dd91788ef2e3bb,FIRE_STARTER,7,True
c3dd91788ef2e3bb,GATHERER,7,True
c3dd91788ef2e3bb,SAILOR,9,True
c3dd91788ef2e3bb,CRAFTSMAN,11,True
c3dd91788ef2e3bb,COOK,2,True
